cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Leslie","http://postalcodez.co.za/postalcodes/mp/gert-sibande/leslie","Lebohang Uit 9","http://lebohang-uit-9.postalcodez.co.za/postalcode/mp/gert-sibande/leslie/lebohang-uit-9","Location: Lebohang Uit 9","2265","2265","Leslie","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Balfour","http://postalcodez.co.za/postalcodes/mp/gert-sibande/balfour","Siyathemba","http://siyathemba.postalcodez.co.za/postalcode/mp/gert-sibande/balfour/siyathemba","Location: Siyathemba","2410","2410","Balfour","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","Witrivier Uit 13","http://witrivier-uit-13.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/witrivier-uit-13","Location: Witrivier Uit 13","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Volksrust","http://postalcodez.co.za/postalcodes/mp/gert-sibande/volksrust","Vlakpoort","http://vlakpoort.postalcodez.co.za/postalcode/mp/gert-sibande/volksrust/vlakpoort","Location: Vlakpoort","2491","2491","Volksrust","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Barberton","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/barberton","Bray Street","http://bray-street.postalcodez.co.za/postalcode/mp/ehlanzeni/barberton/bray-street","Location: Bray Street","-------","1300","Barberton","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","Witrivier Uit 10","http://witrivier-uit-10.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/witrivier-uit-10","Location: Witrivier Uit 10","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Lydenburg","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/lydenburg","Kellysville","http://kellysville.postalcodez.co.za/postalcode/mp/ehlanzeni/lydenburg/kellysville","Location: Kellysville","1120","1120","Lydenburg","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","White River Ext 5","http://white-river-ext-5.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/white-river-ext-5","Location: White River Ext 15","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Kabokweni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/kabokweni","Chweni","http://chweni.postalcodez.co.za/postalcode/mp/ehlanzeni/kabokweni/chweni","Location: Chweni","-------","1250","Kabokweni","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Siyabuswa","http://postalcodez.co.za/postalcodes/mp/nkangala/siyabuswa","Sunset Supermarket","http://sunset-supermarket.postalcodez.co.za/postalcode/mp/nkangala/siyabuswa/sunset-supermarket","Location: Sunset Supermarket","-------","0472","Siyabuswa","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","White River","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/white-river","White River","http://white-river.postalcodez.co.za/postalcode/mp/ehlanzeni/white-river/white-river","Location: White River","1240","1240","White River","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
