province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Beaconsfield;http://beaconsfield.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/beaconsfield;Location: Beaconsfield;8301;8315;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Weseinde;http://weseinde.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/weseinde;Location: Weseinde;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Kgalagadi;http://postalcodez.co.za/postalcodes/nc/kgalagadi;Ga-Sehunelo;http://postalcodez.co.za/postalcodes/nc/kgalagadi/ga-sehunelo;Thabo Mbeki;http://thabo-mbeki.postalcodez.co.za/postalcode/nc/kgalagadi/ga-sehunelo/thabo-mbeki;Location: Thabo Mbeki;9323;-------;Ga-Sehunelo;Kgalagadi;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Springbok;http://postalcodez.co.za/postalcodes/nc/namakwa/springbok;Kamieskroon;http://kamieskroon.postalcodez.co.za/postalcode/nc/namakwa/springbok/kamieskroon;Location: Kamieskroon;-------;8241;Springbok;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Keimoes;http://postalcodez.co.za/postalcodes/nc/siyanda/keimoes;Keimoes Ext 7;http://keimoes-ext-7.postalcodez.co.za/postalcode/nc/siyanda/keimoes/keimoes-ext-7;Location: Keimoes Ext 7;8860;-------;Keimoes;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Upington Uit 41;http://upington-uit-41.postalcodez.co.za/postalcode/nc/siyanda/upington/upington-uit-41;Location: Upington Uit 41;8801;-------;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Mankurwane;http://mankurwane.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/mankurwane;Location: Mankurwane;8345;8345;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Paballelo;http://paballelo.postalcodez.co.za/postalcode/nc/siyanda/upington/paballelo;Location: Paballelo;8801;8801;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Hillside Ext 41;http://hillside-ext-41.postalcodez.co.za/postalcode/nc/siyanda/upington/hillside-ext-41;Location: Hillside Ext 41;8801;-------;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Springbok;http://postalcodez.co.za/postalcodes/nc/namakwa/springbok;Matjieskloof;http://matjieskloof.postalcodez.co.za/postalcode/nc/namakwa/springbok/matjieskloof;Location: Matjieskloof;8240;8240;Springbok;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Kgalagadi;http://postalcodez.co.za/postalcodes/nc/kgalagadi;Ga-Sehunelo;http://postalcodez.co.za/postalcodes/nc/kgalagadi/ga-sehunelo;Turflaagte Fase 1;http://turflaagte-fase-1.postalcodez.co.za/postalcode/nc/kgalagadi/ga-sehunelo/turflaagte-fase-1;Location: Turflaagte Fase 1;9323;-------;Ga-Sehunelo;Kgalagadi;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Kimberley;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/kimberley;Campbell;http://campbell.postalcodez.co.za/postalcode/nc/pixley-ka-seme/kimberley/campbell;Location: Campbell;8306;8306;Kimberley;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Fabricia;http://fabricia.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/fabricia;Location: Fabricia;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Daniëlskuil;http://postalcodez.co.za/postalcodes/nc/siyanda/dani-lskuil;Tlhakalatlou;http://tlhakalatlou.postalcodez.co.za/postalcode/nc/siyanda/dani-lskuil/tlhakalatlou;Location: Tlhakalatlou;-------;8405;Daniëlskuil;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Platfontein;http://postalcodez.co.za/postalcodes/nc/frances-baard/platfontein;Platfontein;http://platfontein.postalcodez.co.za/postalcode/nc/frances-baard/platfontein/platfontein;Location: Platfontein;-------;8346;Platfontein;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Strydenburg;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/strydenburg;Deetlefsville;http://deetlefsville.postalcodez.co.za/postalcode/nc/pixley-ka-seme/strydenburg/deetlefsville;Location: Deetlefsville;-------;8765;Strydenburg;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Port Nolloth;http://postalcodez.co.za/postalcodes/nc/namakwa/port-nolloth;Nollothville;http://nollothville.postalcodez.co.za/postalcode/nc/namakwa/port-nolloth/nollothville;Location: Nollothville;-------;8280;Port Nolloth;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Hopetown;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/hopetown;Steynville;http://steynville.postalcodez.co.za/postalcode/nc/pixley-ka-seme/hopetown/steynville;Location: Steynville;8750;-------;Hopetown;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
