cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","East London","http://postalcodez.co.za/postalcodes/ec/amatole/east-london","Nahoonmond","http://nahoonmond.postalcodez.co.za/postalcode/ec/amatole/east-london/nahoonmond","Location: Nahoonmond","5241","5210","East London","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","New Brighton","http://postalcodez.co.za/postalcodes/ec/amatole/new-brighton","Silvertown","http://silvertown.postalcodez.co.za/postalcode/ec/amatole/new-brighton/silvertown","Location: Silvertown","6200","-------","New Brighton","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Uitenhage","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/uitenhage","Alexander Park Industrial","http://alexander-park-industrial.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/uitenhage/alexander-park-industrial","Location: Alexander Park Industrial","6229","-------","Uitenhage","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Humansdorp","http://postalcodez.co.za/postalcodes/ec/cacadu/humansdorp","Clarkson","http://clarkson.postalcodez.co.za/postalcode/ec/cacadu/humansdorp/clarkson","Location: Clarkson","-------","6302","Humansdorp","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Elliot","http://postalcodez.co.za/postalcodes/ec/amatole/elliot","Masibambane","http://masibambane.postalcodez.co.za/postalcode/ec/amatole/elliot/masibambane","Location: Masibambane","-------","5460","Elliot","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Mthatha","http://postalcodez.co.za/postalcodes/ec/or-thambo/mthatha","Ikwezi Ext","http://ikwezi-ext.postalcodez.co.za/postalcode/ec/or-thambo/mthatha/ikwezi-ext","Location: Ikwezi Ext","5100","-------","Mthatha","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Chris Hani","http://postalcodez.co.za/postalcodes/ec/chris-hani","Askeaton","http://postalcodez.co.za/postalcodes/ec/chris-hani/askeaton","Askeaton","http://askeaton.postalcodez.co.za/postalcode/ec/chris-hani/askeaton/askeaton","Location: Askeaton","-------","5413","Askeaton","Chris Hani","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Chris Hani","http://postalcodez.co.za/postalcodes/ec/chris-hani","Tsomo","http://postalcodez.co.za/postalcodes/ec/chris-hani/tsomo","Dotyeni","http://dotyeni.postalcodez.co.za/postalcode/ec/chris-hani/tsomo/dotyeni","Location: Dotyeni","-------","5400","Tsomo","Chris Hani","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Flagstaff","http://postalcodez.co.za/postalcodes/ec/or-thambo/flagstaff","Marashu","http://marashu.postalcodez.co.za/postalcode/ec/or-thambo/flagstaff/marashu","Location: Marashu","-------","4810","Flagstaff","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Mount Frere","http://postalcodez.co.za/postalcodes/ec/or-thambo/mount-frere","Kumdyobe","http://kumdyobe.postalcodez.co.za/postalcode/ec/or-thambo/mount-frere/kumdyobe","Location: Kumdyobe","-------","5090","Mount Frere","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Millard Grange","http://millard-grange.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/millard-grange","Location: Millard Grange","6001","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Grahamstown","http://postalcodez.co.za/postalcodes/ec/amatole/grahamstown","Fingo Dorp","http://fingo-dorp.postalcodez.co.za/postalcode/ec/amatole/grahamstown/fingo-dorp","Location: Fingo Dorp","6139","-------","Grahamstown","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Chris Hani","http://postalcodez.co.za/postalcodes/ec/chris-hani","Queenstown","http://postalcodez.co.za/postalcodes/ec/chris-hani/queenstown","Unifound","http://unifound.postalcodez.co.za/postalcode/ec/chris-hani/queenstown/unifound","Location: Unifound","5319","-------","Queenstown","Chris Hani","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Grahamstown","http://postalcodez.co.za/postalcodes/ec/amatole/grahamstown","Grahamstad Uit 7","http://grahamstad-uit-7.postalcodez.co.za/postalcode/ec/amatole/grahamstown/grahamstad-uit-7","Location: Grahamstad Uit 7","6139","-------","Grahamstown","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","East London","http://postalcodez.co.za/postalcodes/ec/amatole/east-london","Braelyn Uit","http://braelyn-uit.postalcodez.co.za/postalcode/ec/amatole/east-london/braelyn-uit","Location: Braelyn Uit","5209","5209","East London","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
