province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Carletonville;http://postalcodez.co.za/postalcodes/nw/southern/carletonville;Deelkraal;http://deelkraal.postalcodez.co.za/postalcode/nw/southern/carletonville/deelkraal;Location: Deelkraal;2499;2500;Carletonville;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Mafikeng;http://postalcodez.co.za/postalcodes/nw/central/mafikeng;Tsetse;http://tsetse.postalcodez.co.za/postalcode/nw/central/mafikeng/tsetse;Location: Tsetse;-------;2752;Mafikeng;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Brits;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/brits;Ifafi Ext 6;http://ifafi-ext-6.postalcodez.co.za/postalcode/nw/bojanala-platinum/brits/ifafi-ext-6;Location: Ifafi Ext 6;260;260;Brits;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Mmabatho;http://postalcodez.co.za/postalcodes/nw/central/mmabatho;Mmabatho Unit 6;http://mmabatho-unit-6.postalcodez.co.za/postalcode/nw/central/mmabatho/mmabatho-unit-6;Location: Mmabatho Unit 6;2790;2735;Mmabatho;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bophirima;http://postalcodez.co.za/postalcodes/nw/bophirima;Vryburg;http://postalcodez.co.za/postalcodes/nw/bophirima/vryburg;Industriele Gebied;http://industriele-gebied.postalcodez.co.za/postalcode/nw/bophirima/vryburg/industriele-gebied;Location: Industriele Gebied;8601;-------;Vryburg;Bophirima;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Potchefstroom;http://postalcodez.co.za/postalcodes/nw/southern/potchefstroom;Universiteit Van Potchefstroom;http://universiteit-van-potchefstroom.postalcodez.co.za/postalcode/nw/southern/potchefstroom/universiteit-van-potchefstroom;Location: Universiteit Van Potchefstroom;2531;-------;Potchefstroom;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Rustenburg;http://rustenburg.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/rustenburg;Location: Rustenburg;299;300;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Brits;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/brits;Brits Industrial;http://brits-industrial.postalcodez.co.za/postalcode/nw/bojanala-platinum/brits/brits-industrial;Location: Brits Industrial;250;-------;Brits;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Mokgola;http://postalcodez.co.za/postalcodes/nw/central/mokgola;Mokgola;http://mokgola.postalcodez.co.za/postalcode/nw/central/mokgola/mokgola;Location: Mokgola;-------;2869;Mokgola;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Groothoek;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/groothoek;Groothoekhospitaal;http://groothoekhospitaal.postalcodez.co.za/postalcode/nw/bojanala-platinum/groothoek/groothoekhospitaal;Location: Groothoekhospitaal;-------;628;Groothoek;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
